fname,lname,district,party,county
Joseph,Abruzzo,25,D,Part Of Palm Beach County
Thad,Altman,16,R,"Parts Of Brevard, Indian River Counties"
Aaron,Bean,4,R,Nassau County And Part Of Duval County
Lizbeth,Benacquisto,30,R,"Parts Of Charlotte, Lee Counties"
Rob,Bradley,7,R,"Alachua, Bradford, Clay Counties"
Jeff,Brandes,22,R,"Parts Of Hillsborough, Pinellas Counties"
Oscar,Braynon,36,D,"Parts Of Broward, Miami-Dade Counties"
Dwight,Bullard,39,D,"Hendry, Monroe Counties And Parts Of Collier, Miami-Dade Counties"
Jeff,Clemens,27,D,Part Of Palm Beach County
Charles S. 'Charlie',Dean,5,R,"Baker, Citrus, Columbia, Dixie, Gilchrist, Lafayette, Levy, Suwannee, Union Counties And Part Of Marion County"
Nancy C.,Detert,28,R,Sarasota County And Part Of Charlotte County
Miguel,Diaz de la Portilla,40,R,Part Of Miami-Dade County
Greg,Evers,2,R,"Escambia, Santa Rosa Counties And Part Of Okaloosa County"
Anitere,Flores,37,R,Part Of Miami-Dade County
Don,Gaetz,1,R,"Bay, Holmes, Jackson, Walton, Washington Counties And Part Of Okaloosa County"
Bill,Galvano,26,R,"Desoto, Glades, Hardee Counties And Parts Of Charlotte, Highlands, Hillsborough, Manatee Counties"
Rene,Garcia,38,R,Part Of Miami-Dade County
Andy,Gardiner,13,R,"Parts Of Brevard, Orange Counties"
Audrey,Gibson,9,D,Part Of Duval County
Denise,Grimsley,21,R,"Okeechobee County And Parts Of Highlands, Martin, Osceola, Polk, St. Lucie Counties"
Alan,Hays,11,R,"Parts Of Lake, Marion, Orange, Sumter Counties"
Dorothy L.,Hukill,8,R,"Parts Of Lake, Marion, Volusia Counties"
Travis,Hutson,6,R,"Flagler, Putnam, St. Johns Counties And Part Of Volusia County"
Arthenia L.,Joyner,19,D,"Parts Of Hillsborough, Manatee, Pinellas Counties"
Jack,Latvala,20,R,Part Of Pinellas County
Tom,Lee,24,R,Part Of Hillsborough County
John,Legg,17,R,"Parts Of Hillsborough, Pasco Counties"
Gwen,Margolis,35,D,Part Of Miami-Dade County
Bill,Montford,3,D,"Calhoun, Franklin, Gadsden, Gulf, Hamilton, Jefferson, Leon, Liberty, Madison, Taylor, Wakulla Counties"
Joe,Negron,32,R,"Parts Of Indian River, Martin, Palm Beach, St. Lucie Counties"
Garrett,Richter,23,R,"Parts Of Collier, Lee Counties"
Jeremy,Ring,29,D,Part Of Broward County
Maria Lorts,Sachs,34,D,"Parts Of Broward, Palm Beach Counties"
David,Simmons,10,R,Seminole County And Part Of Volusia County
Wilton,Simpson,18,R,"Hernando County And Parts Of Pasco, Sumter Counties"
Christopher L.,Smith,31,D,Part Of Broward County
Eleanor,Sobel,33,D,Part Of Broward County
Darren,Soto,14,D,"Parts Of Orange, Osceola, Polk Counties"
Kelli,Stargel,15,R,"Parts Of Orange, Osceola, Polk Counties"
Geraldine F. 'Geri',Thompson,12,D,Part Of Orange County
